date,ma_max_temp,ma_rain,avg_price
2016/04/11,9.557894737,2.803947368,2390
2016/04/12,9.564473684,2.801973684,2430
2016/04/13,9.591447368,2.728947368,2430
2016/04/14,9.624342105,2.697368421,2430
2016/04/15,9.644736842,2.696052632,2430
2016/04/16,9.673684211,2.834210526,2430
2016/04/17,9.674342105,2.888815789,2430
2016/04/18,9.703947368,2.840131579,2430
2016/04/19,9.748026316,2.832894737,2430
2016/04/20,9.775657895,2.839473684,2430
2016/04/21,9.798684211,3.019736842,2430
2016/04/22,9.853289474,2.966447368,2430
2016/04/23,9.901973684,2.931578947,2430
2016/04/24,9.970394737,2.902631579,2430
2016/04/25,10.08223684,2.847368421,2340
2016/04/26,10.21907895,2.836842105,2090
2016/04/27,10.29013158,3.028947368,2090
2016/04/28,10.36513158,3.051973684,2090
2016/04/29,10.43684211,3.044736842,2170
2016/04/30,10.5125,3.044078947,2170
2016/05/01,10.59868421,3.044078947,2170
2016/05/02,10.68815789,3.064473684,2350
2016/05/03,10.77434211,3.243421053,2520
2016/05/04,10.88092105,3.241447368,2370
2016/05/05,10.99210526,3.259210526,2370
2016/05/06,11.08355263,3.276315789,2370
2016/05/07,11.17039474,3.272368421,2370
2016/05/08,11.25921053,3.267763158,2370
2016/05/09,11.32171053,3.271052632,2370
2016/05/10,11.36118421,3.296052632,2420
2016/05/11,11.43223684,3.270394737,2420
2016/05/12,11.52302632,3.268421053,2470
2016/05/13,11.58552632,3.269736842,2420
2016/05/14,11.68289474,3.244078947,2420
2016/05/15,11.77434211,3.313815789,2420
2016/05/16,11.87828947,3.332894737,2430
2016/05/17,12.04210526,3.315789474,2290
2016/05/18,12.20197368,3.315789474,2210
2016/05/19,12.33355263,3.315789474,2340
2016/05/20,12.47565789,3.301973684,2240
2016/05/21,12.59605263,3.290131579,2240
2016/05/22,12.71184211,3.288815789,2240
2016/05/23,12.83223684,3.282894737,2220
2016/05/24,12.9125,3.414473684,2220
2016/05/25,13.04078947,3.411842105,2220
2016/05/26,13.14539474,3.409868421,2300
2016/05/27,13.29736842,3.406578947,2170
2016/05/28,13.45723684,3.419078947,2170
2016/05/29,13.59539474,3.429605263,2170
2016/05/30,13.73157895,3.419078947,2110
2016/05/31,13.87236842,3.413815789,2210
2016/06/01,13.99605263,3.413815789,2230
2016/06/02,14.09736842,3.415789474,2130
2016/06/03,14.19605263,3.416447368,2130
2016/06/04,14.27828947,3.466447368,2130
2016/06/05,14.42368421,3.453289474,2130
2016/06/06,14.53421053,3.459210526,2130
2016/06/07,14.67368421,3.461842105,2070
2016/06/08,14.81118421,3.477631579,2030
2016/06/09,14.95789474,3.479605263,2030
2016/06/10,15.10131579,3.479605263,1940
2016/06/11,15.25723684,3.465131579,1940
2016/06/12,15.40460526,3.478947368,1940
2016/06/13,15.56842105,3.480921053,1920
2016/06/14,15.725,3.486184211,1920
2016/06/15,15.84671053,3.521052632,1840
2016/06/16,15.96710526,3.538815789,1840
2016/06/17,16.12039474,3.505921053,1800
2016/06/18,16.29210526,3.514473684,1800
2016/06/19,16.50986842,3.521710526,1800
2016/06/20,16.70526316,3.590131579,1840
2016/06/21,16.88815789,3.581578947,1840
2016/06/22,17.05394737,3.606578947,1840
2016/06/23,17.26776316,3.584210526,1820
2016/06/24,17.47894737,3.7625,1820
